epoch,map,map_05,train loss,train cls loss,train box reg loss,train obj loss,train rpn loss
1,0.4112008366743993,0.8413613248512247,1.1983673572540283,0.49724555,0.7453178,0.15371215,0.17083173
2,0.5470394064637167,0.9240067029494455,1.0591890811920166,0.23719853,0.6105794,0.10085859,0.15756774
3,0.6083255060930002,0.9395861257237353,0.9141548275947571,0.18764348,0.52494794,0.07199628,0.13690697
4,0.6559230490099347,0.9433876053694078,0.8985075950622559,0.17590727,0.454593,0.07048056,0.12912849
5,0.6889112017690765,0.9561419322273962,0.9048453569412231,0.16492999,0.42407483,0.07007143,0.12528211
6,0.6970273450406829,0.9488495378328314,0.8459978699684143,0.15278858,0.3956748,0.06652066,0.13949622
7,0.7074755958861583,0.9590297130998948,0.7479636669158936,0.1494631,0.38396192,0.060864724,0.12720978
8,0.7138458452980574,0.957678203860162,0.5852758288383484,0.14641795,0.3830546,0.063245,0.13018976
9,0.7242215230397164,0.9591187366877647,0.6294807195663452,0.14247702,0.35945004,0.05702657,0.12114721
10,0.7298543443719111,0.959215927031653,0.7683843970298767,0.14124991,0.3597005,0.057973366,0.117670044
11,0.7299992809774631,0.9610640768032417,0.6711272597312927,0.14116284,0.3581771,0.051513147,0.11515487
12,0.7363901683675474,0.9626259601227075,0.6740450859069824,0.13781539,0.34360716,0.05186026,0.10728398
13,0.7364878199948317,0.9690588934708043,0.7308735847473145,0.13705954,0.33981264,0.055230003,0.11349397
14,0.7287289833132143,0.9620872894560207,0.7348297834396362,0.13357824,0.33168277,0.0509526,0.10992458
15,0.7390703995327912,0.9704467866129625,0.6467716693878174,0.12779829,0.33846506,0.05233973,0.11055031
16,0.7414838696704107,0.9613951832840294,0.6776595115661621,0.1322381,0.32909095,0.04697908,0.09930336
17,0.737161130675186,0.9608027712402569,0.6717220544815063,0.12827711,0.325828,0.054008696,0.11463976
18,0.7495959090015991,0.9708634564343842,0.7380908131599426,0.12674448,0.31270555,0.047605287,0.09610113
19,0.7433629471265498,0.9635396499301977,0.6784324645996094,0.12591779,0.32436675,0.05132615,0.115040556
20,0.7505443960466756,0.9712005592224288,0.6863884925842285,0.122343086,0.31207952,0.044898536,0.096083686
21,0.7458727367609518,0.9637312060029588,0.5841096043586731,0.12304592,0.30347213,0.040475797,0.10195961
22,0.757051787639476,0.9721426060588964,0.4522300064563751,0.12295622,0.2804557,0.035123933,0.08068442
23,0.7579590722562556,0.9705122998942486,0.6112152338027954,0.120644845,0.2994632,0.044562794,0.10724823
24,0.7541161608189105,0.9728593341043666,0.6644159555435181,0.118658364,0.29309797,0.043132346,0.09986959
25,0.7563485753665262,0.9736743475442089,0.5850304365158081,0.11679042,0.2959931,0.046295717,0.09838575
26,0.7526349043159598,0.971174183454598,0.5237284898757935,0.11723658,0.2843326,0.040321734,0.09312431
27,0.7519433148611564,0.9720128534457915,0.6071345210075378,0.11198095,0.29409942,0.03802968,0.09533224
28,0.7557755748230575,0.9733534723627727,0.5049609541893005,0.112485334,0.28476784,0.045180716,0.0999306
29,0.7568636838850532,0.9738741408540746,0.6385857462882996,0.11383368,0.30369917,0.04955112,0.10256344
30,0.7571207956281579,0.9738146947556392,0.580502986907959,0.11447914,0.28808004,0.043212384,0.095115624
31,0.7619737147576375,0.9742801610385704,0.562908411026001,0.11313362,0.27671692,0.035974056,0.08931638
32,0.7631463099405178,0.9815436039535563,0.512620747089386,0.109275356,0.28869802,0.04452426,0.10434302
33,0.7668675883138357,0.9817929788375628,0.5413981080055237,0.111961454,0.2759807,0.038914055,0.09061945
34,0.7612802258302472,0.9744012219853002,0.5374889373779297,0.110644616,0.27320677,0.038785536,0.09029573
35,0.763180695225352,0.9749887538670986,0.4921833872795105,0.10826746,0.28195408,0.04239151,0.10406352
36,0.7656464638217418,0.9735073368536549,0.47763872146606445,0.109055854,0.29090762,0.04291112,0.10218718
37,0.7621955295392678,0.9757649042356566,0.5667437314987183,0.107934035,0.28683412,0.046929944,0.10414948
38,0.7608049918009552,0.97462692223495,0.5520260334014893,0.10822599,0.27117294,0.037789043,0.09047774
39,0.7654888891569663,0.9758268254096988,0.5171099901199341,0.108003326,0.2915572,0.04555005,0.107360624
40,0.7673731910000988,0.9749633025553605,0.48282498121261597,0.106883824,0.27228934,0.04117762,0.08886958
41,0.7713776736259108,0.9751114206288005,0.4441787898540497,0.10058874,0.25324094,0.03454512,0.080195166
42,0.7741269026549388,0.9743510705401445,0.39906567335128784,0.106461465,0.27423576,0.036564134,0.08908387
43,0.7654126625889269,0.9734619411556522,0.6139836311340332,0.10570302,0.2843358,0.04171717,0.100993104
44,0.7668280084047857,0.9745684885091862,0.4988580346107483,0.10680272,0.279936,0.041405257,0.10100784
45,0.7682329091901171,0.9747771635272089,0.5422007441520691,0.10272754,0.25964963,0.03742494,0.090136014
46,0.7705541336008793,0.974774114598288,0.35430240631103516,0.10433608,0.25635666,0.029476935,0.07950904
47,0.7666447285232896,0.9753649936970504,0.7257902026176453,0.103765644,0.280829,0.045252293,0.10629456
48,0.7701816297527128,0.9745559540772705,0.6051698327064514,0.102336526,0.25612164,0.03828349,0.09006582
49,0.7721847035341051,0.9752147768388691,0.5753481388092041,0.101273164,0.27110127,0.03485814,0.0895157
50,0.7760598719203928,0.9761343183083435,0.5677123069763184,0.10465336,0.2747517,0.0434164,0.0907438
