epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,406.045,0.87687,0.58711,0.89765,0.94474,0.93694,0.98209,0.79231,0.70151,0.52175,0.83313,0.0011882,0.0011882,0.0011882
43,415.694,0.84732,0.5792,0.88308,0.94773,0.94955,0.98194,0.76344,0.78088,0.53031,0.8384,0.0011684,0.0011684,0.0011684
44,425.472,0.88622,0.58618,0.89147,0.94283,0.94595,0.98479,0.78269,0.71125,0.51023,0.83241,0.0011486,0.0011486,0.0011486
45,435.097,0.86519,0.58554,0.89768,0.94332,0.94054,0.98386,0.80107,0.65573,0.49672,0.82741,0.0011288,0.0011288,0.0011288
46,444.831,0.84327,0.57775,0.88855,0.94244,0.93153,0.98337,0.79888,0.6504,0.49122,0.8289,0.001109,0.001109,0.001109
47,454.511,0.81609,0.57555,0.89548,0.94372,0.92973,0.98249,0.79374,0.6587,0.49582,0.82903,0.0010892,0.0010892,0.0010892
48,464.255,0.88557,0.58169,0.89653,0.95561,0.93083,0.98315,0.78983,0.68884,0.4986,0.82979,0.0010694,0.0010694,0.0010694
49,473.839,0.84409,0.57306,0.88812,0.95341,0.92793,0.98322,0.78581,0.71069,0.50835,0.83234,0.0010496,0.0010496,0.0010496
50,483.46,0.85393,0.57585,0.88431,0.96263,0.9283,0.9846,0.79544,0.65508,0.49134,0.82883,0.0010298,0.0010298,0.0010298
51,492.924,0.81009,0.58332,0.89757,0.95389,0.93194,0.98462,0.80042,0.66943,0.48797,0.82882,0.00101,0.00101,0.00101
52,502.571,0.84684,0.57491,0.90289,0.93424,0.93514,0.98203,0.79166,0.67051,0.4983,0.83099,0.0009902,0.0009902,0.0009902
53,512.422,0.93964,0.60283,0.89752,0.92574,0.92091,0.96917,0.72312,0.8282,0.54838,0.85329,0.0009704,0.0009704,0.0009704
54,522.12,0.92833,0.61256,0.90742,0.93501,0.94054,0.98002,0.75854,0.73929,0.53127,0.84074,0.0009506,0.0009506,0.0009506
55,531.871,0.93315,0.61243,0.90825,0.95576,0.9342,0.98377,0.78463,0.7135,0.51036,0.82962,0.0009308,0.0009308,0.0009308
56,541.579,0.91221,0.58816,0.88951,0.9538,0.93006,0.9832,0.79754,0.67476,0.49388,0.82948,0.000911,0.000911,0.000911
57,551.259,0.88953,0.59789,0.90028,0.95908,0.92904,0.98475,0.80803,0.65645,0.49713,0.8289,0.0008912,0.0008912,0.0008912
